source,hour,existing_cost
Solar,1,25
Solar,2,25
Solar,3,25
Solar,4,25
Solar,5,25
Solar,6,25
Solar,7,25
Solar,8,25
Solar,9,25
Solar,10,25
Solar,11,25
Solar,12,25
Solar,13,25
Solar,14,25
Solar,15,25
Solar,16,25
Solar,17,25
Solar,18,25
Solar,19,25
Solar,20,25
Solar,21,25
Solar,22,25
Solar,23,25
Solar,24,25
Solar,25,25
Solar,26,25
Solar,27,25
Solar,28,25
Solar,29,25
Solar,30,25
Solar,31,25
Solar,32,25
Solar,33,25
Solar,34,25
Solar,35,25
Solar,36,25
Solar,37,25
Solar,38,25
Solar,39,25
Solar,40,25
Solar,41,25
Solar,42,25
Solar,43,25
Solar,44,25
Solar,45,25
Solar,46,25
Solar,47,25
Solar,48,25
Solar,49,25
Solar,50,25
Solar,51,25
Solar,52,25
Solar,53,25
Solar,54,25
Solar,55,25
Solar,56,25
Solar,57,25
Solar,58,25
Solar,59,25
Solar,60,25
Solar,61,25
Solar,62,25
Solar,63,25
Solar,64,25
Solar,65,25
Solar,66,25
Solar,67,25
Solar,68,25
Solar,69,25
Solar,70,25
Solar,71,25
Solar,72,25
Solar,73,25
Solar,74,25
Solar,75,25
Solar,76,25
Solar,77,25
Solar,78,25
Solar,79,25
Solar,80,25
Solar,81,25
Solar,82,25
Solar,83,25
Solar,84,25
Solar,85,25
Solar,86,25
Solar,87,25
Solar,88,25
Solar,89,25
Solar,90,25
Solar,91,25
Solar,92,25
Solar,93,25
Solar,94,25
Solar,95,25
Solar,96,25
Solar,97,25
Solar,98,25
Solar,99,25
Solar,100,25
Solar,101,25
Solar,102,25
Solar,103,25
Solar,104,25
Solar,105,25
Solar,106,25
Solar,107,25
Solar,108,25
Solar,109,25
Solar,110,25
Solar,111,25
Solar,112,25
Solar,113,25
Solar,114,25
Solar,115,25
Solar,116,25
Solar,117,25
Solar,118,25
Solar,119,25
Solar,120,25
Solar,121,25
Solar,122,25
Solar,123,25
Solar,124,25
Solar,125,25
Solar,126,25
Solar,127,25
Solar,128,25
Solar,129,25
Solar,130,25
Solar,131,25
Solar,132,25
Solar,133,25
Solar,134,25
Solar,135,25
Solar,136,25
Solar,137,25
Solar,138,25
Solar,139,25
Solar,140,25
Solar,141,25
Solar,142,25
Solar,143,25
Solar,144,25
Solar,145,25
Solar,146,25
Solar,147,25
Solar,148,25
Solar,149,25
Solar,150,25
Solar,151,25
Solar,152,25
Solar,153,25
Solar,154,25
Solar,155,25
Solar,156,25
Solar,157,25
Solar,158,25
Solar,159,25
Solar,160,25
Solar,161,25
Solar,162,25
Solar,163,25
Solar,164,25
Solar,165,25
Solar,166,25
Solar,167,25
Solar,168,25
Solar,169,25
Solar,170,25
Solar,171,25
Solar,172,25
Solar,173,25
Solar,174,25
Solar,175,25
Solar,176,25
Solar,177,25
Solar,178,25
