Hour,Demand
1,44084.97656
2,43445.85156
3,43129.83594
4,42988.66406
5,43189.53906
6,43592.55859
7,44627.65625
8,45580.80859
9,45974.03906
10,45905.87109
11,45775.03125
12,45351.54297
13,44659.07422
14,43720.12109
15,42760.11328
16,42103.76172
17,41949.10938
18,43086.86719
19,45737.12891
20,46388.30078
21,46021.14063
22,45707.09766
23,44989.79688
24,43594.57031
25,42138.67188
26,41238.16016
27,40585.46875
28,40341.22656
29,40596.93359
30,41415.54297
31,42852.36719
32,44536.82031
33,45677.39063
34,45616.53516
35,44343.62891
36,42613.16016
37,40836.90625
38,39340.30469
39,37825.79297
40,36918.80469
41,36622.78906
42,37408.73438
43,40836.98828
44,42399.96875
45,42891.25781
46,43281.14453
47,42734.04688
48,41991.76563
49,40934.08203
50,40240.83203
51,39985.91016
52,40193.9375
53,40536.80859
54,41381.79688
55,42422.69922
56,43926.58984
57,44610.80078
58,43637.58594
59,41737.46875
60,39809.84766
61,38426.03125
62,36927.96484
63,36100.10156
64,35283.27344
65,35410.29297
66,35989.55078
67,38830.52344
68,39812.91406
69,39836.99609
70,39529.66016
71,38792.23047
72,37343.11328
73,36256.5625
74,35622.59766
75,35660.00391
76,35746.27734
77,36602.98828
78,38233.58984
79,41132.00781
80,44643.63672
81,45640.39453
82,44361.84375
83,42588.66406
84,41118.71484
85,40014.01172
86,39456.6875
87,38871.91016
88,38693.71094
89,38483.92188
90,38436.19922
91,40827.60547
92,41247.55078
93,40798.01953
94,39975.9375
95,38623.28906
96,36830.60938
97,35338.74609
98,34654.51563
99,34331.58203
100,34712.72656
101,35398.04688
102,37293.79297
103,40501.45703
104,44134.92578
105,44811.55078
106,43838.8125
107,42483.12891
108,41223.89844
109,40433.44531
110,39556.65234
111,38959.30078
112,38492.56641
113,38554.57422
114,38703.89063
115,41271.37109
116,41769.16016
117,41278.35547
118,40218.29297
119,38597.75
120,36350.82813
121,34614.75391
122,33492.54688
123,32558.80469
124,32266.94531
125,32381.11328
126,33655.61719
127,35937.76953
128,38861.05469
129,39467.53125
130,39950.64844
131,40750.17969
132,40927.82031
133,40921.80859
134,40671.12109
135,40225.78125
136,39979.03906
137,40443.50391
138,41311.88281
139,43054.42969
140,43350.92188
141,42735.14844
142,41896.66406
143,40275.26172
144,38480.30078
145,36819.82422
146,36084.70703
147,35960.55469
148,35960.06641
149,36518.69531
150,38345.01953
151,41399.50391
152,44990.50391
153,45962.60156
154,45441.28125
155,44624.15625
156,43697.59375
157,42873.33203
158,41960.55859
159,41366.26172
160,40780.41016
161,40779.52344
162,41768.23047
163,43845.62109
164,44844.75781
165,44772.55859
166,44118.33984
167,42717.79297
168,40876.00781
169,39422.44141
170,38731.27344
171,38442.58594
172,38614.71094
173,39303.55469
174,41073.57813
175,44050.76563
176,47503.86719
177,48538.44141
178,47838.17578
179,47108.35156
180,46588.96094
181,45395.85156
182,43775.97656
183,42513.93359
184,41272.94531
185,41009.02734
186,41475.84766
187,44951.80469
188,45977.28906
189,46217.09766
190,45875.375
191,45302.10547
192,44305.95313
193,43384.83203
194,42948.46484
195,43082.59766
196,43510.06641
197,44175.01172
198,45244.66797
199,46940.53516
200,49206.60156
201,50484.36719
202,49505.65234
203,47850.66797
204,45941.69922
205,44034.08984
206,42239.92578
207,40930.70313
208,39964.02734
209,40057.91016
210,40902.94141
211,44219.75391
212,45017.78906
213,45225.26172
214,44795.19531
215,43576
216,42470.41406
217,40929.94531
218,40216.51953
219,39659.83984
220,39396.39844
221,39506.02734
222,40002.06641
223,41129.47656
224,42697.89453
225,44431.98047
226,46686.24219
227,48773.91797
228,50173.82422
229,51538.38281
230,52320.52734
231,52321.65625
232,52426.58203
233,52499.82031
234,53333.29297
235,55206.96875
236,55244.60156
237,54639.54297
238,53154.32422
239,51160.84375
240,49021.48438
241,47198.87109
242,46253.88672
243,45793.86328
244,45635.86328
245,46458.125
246,48026.50391
247,50944.88281
248,54348.78516
249,55681.78125
250,55482.85938
251,54387.33984
252,53255.37891
253,51583.74609
254,49896.60547
255,48476.72266
256,47173.56641
257,46948.78125
258,47943.37891
259,51361.05078
260,52574.9375
261,52570.14453
262,52130.66797
263,50934.1875
264,48882.50391
265,47716.45703
266,47360.66016
267,47463.96484
268,47999.32813
269,49011.19141
270,50802.10547
271,54208.29688
272,57848.8125
273,58423.14844
274,55714.28516
275,52932.92969
276,50096.37891
277,47993.38672
278,46029.53906
279,44690.00781
280,43815.16016
281,43901.21094
282,45086.07031
283,48365.60547
284,49268.67578
285,49328.60938
286,48911.51563
287,47519.4375
288,45557.88672
289,44411.36328
290,44044.47266
291,44264.80859
292,44937.35547
293,46130.83594
294,48414.26172
295,51892.13281
296,55725.38281
297,56056.21875
298,53315.75781
299,49964.38281
300,46991.94141
301,44311.875
302,42166.62109
303,40365.91406
304,39397.26563
305,39158.07422
306,39574.83594
307,42589.98438
308,44264.57422
309,44604.96875
310,44434.8125
311,43067.51953
312,41408.78906
313,40269.125
314,39834.22656
315,39626.33594
316,40069.96875
317,40817.30078
318,42698.35156
319,45952.48047
320,49624.40625
321,49979.16406
322,48061.05469
323,45636.69141
324,43562.08203
325,41803.00391
326,40554.03516
327,39575.09766
328,38847.95313
329,38610.40625
330,39012.30859
331,41478.77344
332,42536.07813
333,42803.18359
334,42399.35156
335,41297.94141
336,39849.09766
337,38741.11719
338,38405.71484
339,38501.19531
340,39035.82031
341,40060.67578
342,42213.64453
343,45622.53516
344,49454.08594
345,50465.375
346,49044.61328
347,47755.91406
348,46495.81641
349,45023.47656
350,43648.95703
351,42461.11719
352,41674.83984
353,41455.30469
354,41939.85156
355,44133.95313
356,45719.91016
357,45857.98438
358,45761.47266
359,45069.16797
360,43992.31641
361,43018.03125
362,42105.89844
363,41990.32813
364,42148.33203
365,42753.39063
366,43860.01172
367,45797.77734
368,47854.45313
369,49011.78906
370,48341.21875
371,46425.28125
372,43819.17188
373,41587.53906
374,39704.14844
375,38056.58203
376,36937.15234
377,36530.72656
378,37586.43359
379,39893.89453
380,41349.11328
381,41500.40234
382,41568.375
383,41084.84766
384,40432.46875
385,39730.77734
386,39056.68359
387,38845.03516
388,38889.03906
389,39346.55859
390,40129.67578
391,41284.14844
392,42848.87109
393,44191.45703
394,43638.43359
395,41994.57422
396,40243.30859
397,38844.49609
398,37581.28125
399,36405.35156
400,35888.86328
401,35624.92578
402,36212.62891
403,38656.88281
404,40096.3125
405,40262.97266
406,40157.01563
407,39624.78516
408,38708.24609
409,38087.47656
410,37912.21875
411,38035.26563
412,38543.82813
413,39478.93359
414,41068.41406
415,43624.41406
416,45877.77734
417,46849.16406
418,45982.35547
419,44723.76563
420,43385.02344
421,42000.92188
422,40545.78906
423,39151.69922
424,38458.16406
425,38377.06641
426,38716.55859
427,40203.69531
428,41180.52344
429,40619.59375
430,39556.07031
431,37666.23438
432,35580.19922
433,33681.35938
434,32406.17188
435,31923.80273
436,31632.23047
437,31770.79883
438,32922.88672
439,35718.61328
440,38848.34375
441,39797.01953
442,40181.07031
443,41122.87109
444,41577.62109
445,41704.57813
446,41722.45703
447,41188.07031
448,41577.07422
449,41777.88672
450,42168.30469
451,43786.91016
452,43781.4375
453,42807.0625
454,41527.63281
455,39770.88281
456,37554.52344
457,35588.66406
458,34848.58203
459,34106.21875
460,34114.33203
461,34513.00391
462,35943.07422
463,38520.12891
464,41795.98047
465,42842.69531
466,43459.35547
467,43717.33203
468,43643.91406
469,43924.94141
470,43260.53516
471,42897.88281
472,42485.91406
473,42826.48828
474,43515.34375
475,45313.95313
476,45149.04688
477,44376.36719
478,43154.42578
479,41225.03125
480,38954.68359
481,36776.85938
482,35688.92188
483,34983.92188
484,34738.90234
485,34947.56641
486,35925.32031
487,38382.78125
488,41293.46484
489,41977.08594
490,41893.57422
491,42006.67188
492,41730.95703
493,41448.5
494,41072.60156
495,40675.92969
496,40256.46875
497,40234.16797
498,40606.67188
499,42135.88281
500,42018.71484
501,41212.22656
502,40122.48047
503,38436.01172
504,36462.51953
505,34710.05469
506,33537.33984
507,32813.89844
508,32728.29883
509,32966.41016
510,33985.27344
511,36517.70703
512,39485.55859
513,40440.39453
