source,hour,added_capacity
Solar,1,999999999
Solar,2,999999999
Solar,3,999999999
Solar,4,999999999
Solar,5,999999999
Solar,6,999999999
Solar,7,999999999
Solar,8,999999999
Solar,9,999999999
Solar,10,999999999
Solar,11,999999999
Solar,12,999999999
Solar,13,999999999
Solar,14,999999999
Solar,15,999999999
Solar,16,999999999
Solar,17,999999999
Solar,18,999999999
Solar,19,999999999
Solar,20,999999999
Solar,21,999999999
Solar,22,999999999
Solar,23,999999999
Solar,24,999999999
Solar,25,999999999
Solar,26,999999999
Solar,27,999999999
Solar,28,999999999
Solar,29,999999999
Solar,30,999999999
Solar,31,999999999
Solar,32,999999999
Solar,33,999999999
Solar,34,999999999
Solar,35,999999999
Solar,36,999999999
Solar,37,999999999
Solar,38,999999999
Solar,39,999999999
Solar,40,999999999
Solar,41,999999999
Solar,42,999999999
Solar,43,999999999
Solar,44,999999999
Solar,45,999999999
Solar,46,999999999
Solar,47,999999999
Solar,48,999999999
Solar,49,999999999
Solar,50,999999999
Solar,51,999999999
Solar,52,999999999
Solar,53,999999999
Solar,54,999999999
Solar,55,999999999
Solar,56,999999999
Solar,57,999999999
Solar,58,999999999
Solar,59,999999999
Solar,60,999999999
Solar,61,999999999
Solar,62,999999999
Solar,63,999999999
Solar,64,999999999
Solar,65,999999999
Solar,66,999999999
Solar,67,999999999
Solar,68,999999999
Solar,69,999999999
Solar,70,999999999
Solar,71,999999999
Solar,72,999999999
Solar,73,999999999
Solar,74,999999999
Solar,75,999999999
Solar,76,999999999
Solar,77,999999999
Solar,78,999999999
Solar,79,999999999
Solar,80,999999999
Solar,81,999999999
Solar,82,999999999
Solar,83,999999999
Solar,84,999999999
Solar,85,999999999
Solar,86,999999999
Solar,87,999999999
Solar,88,999999999
Solar,89,999999999
Solar,90,999999999
Solar,91,999999999
Solar,92,999999999
Solar,93,999999999
Solar,94,999999999
Solar,95,999999999
Solar,96,999999999
Solar,97,999999999
Solar,98,999999999
Solar,99,999999999
Solar,100,999999999
Solar,101,999999999
Solar,102,999999999
Solar,103,999999999
Solar,104,999999999
Solar,105,999999999
Solar,106,999999999
Solar,107,999999999
Solar,108,999999999
Solar,109,999999999
Solar,110,999999999
Solar,111,999999999
Solar,112,999999999
Solar,113,999999999
Solar,114,999999999
Solar,115,999999999
Solar,116,999999999
Solar,117,999999999
Solar,118,999999999
Solar,119,999999999
Solar,120,999999999
Solar,121,999999999
Solar,122,999999999
Solar,123,999999999
Solar,124,999999999
Solar,125,999999999
Solar,126,999999999
Solar,127,999999999
Solar,128,999999999
Solar,129,999999999
Solar,130,999999999
Solar,131,999999999
Solar,132,999999999
